sentence,translated,fuel,machine,others,part,price,service
brio punya fitur keamanan tingkat tinggi yang enggak dimiliki 86 yaitu speed limiter di 145 km / h,"Brio memiliki fitur keamanan na tinggi na so adong di 86, ima pembatas kecepatan 145 km/jam .",neutral,neutral,neutral,positive,neutral,neutral
Lama banget kerja nya teknisi honda !! Masa iya udah 20 antrean belom disentuh-sentuh motor ku ? Dari jam 10 woi ! Emang kalo servis itu bagus yamaha !,Teknisi Honda leleng do tutu karejo!! Toho do nunga 20 menit au antri dang adong na manjama motorhu? Sian jam 10 hei! Yamaha tutu do adong pelayanan na denggan!,neutral,neutral,neutral,neutral,neutral,positive
"Tenaga emang ok , tapi desain pajero kayak banci ... kurang gagah model pajero","Daya na oke do, alai desain ni Pajero i songon na cair do idaon... model Pajero i ndang apala gagah.",neutral,positive,neutral,negative,neutral,neutral
inden fortuner cepat sekali datangnya cukup 1 bulan saja,"Hatop do sahat pra-pesanan Fortuner, holan 1 bulan do lelengna",neutral,neutral,neutral,neutral,neutral,positive
"bebek & xenia sama-sama irit juragan , pokok nya Xenia nih","Bebek & Xenia sama-sama hemat, bos, pokokna Xenia",positive,neutral,neutral,neutral,neutral,neutral
Punya beat injeksi irit nya minta ampun dipakai buat kencang juga oke tetapi setir kadang goyang-goyang kayak ban kempes,"Memiliki suntikan Beat tung hemat do i gabe ndang pola boha i dipangke laho marlojong, alai stir sipata margoyang songon ban na ponggol.",positive,neutral,neutral,negative,neutral,neutral
saya setuju vario jauh lebih enak dibanding mio,Setuju do au molo Vario on dao dumenggan sian Mio .,neutral,neutral,negative,neutral,neutral,neutral
baru beberapa bulan pakai nmax kok sudah bosan ya .,"Holan piga bulan dope au mamakke Nmax i, alai nunga bosan au.",neutral,neutral,negative,neutral,neutral,neutral
"MOBIL ku xenia 1,3 cc puas banget pakai nya .","Mobilku Xenia 1,3 cc, tung mansai puas do ahu mamangke i.",neutral,neutral,positive,neutral,neutral,neutral
vario pokoknya lebih bagus daripada mio dalam segala hal,Vario pada dasarna dumenggan sian Mio di sude hal .,neutral,neutral,negative,neutral,neutral,neutral
Xenia kata nya sih lebih irit dan jangan lupa pajak mobil ditentukan juga oleh CC kendaraan,"Didok, Xenia lebih hemat jala unang lupa pajak mobil pe ditontuhon CC ni kendaraan i.",positive,neutral,neutral,neutral,neutral,neutral
fun to drive memang honda brio masih lebih fun dari sirion,"Asyik marmotor, Honda Brio tong do lebih asik sian Sirion",neutral,neutral,negative,neutral,neutral,neutral
saya sebener nya juga pengen punya mobil rush dengan desain yang sporty,Sasintongna au pe naeng adong mobil Rush na mardesain na sportif .,neutral,neutral,neutral,positive,neutral,neutral
"Bengkel Honda 0001 , ga rekomendasi !! Jelek","Honda 0001 bengkel, tidak dianjurkan!! Jorbut",neutral,neutral,neutral,neutral,neutral,negative
kijang innova pokok nya juara mobil mewah tetapi harga nya tidak mahal,Kijang Innova pada dasarna mobil mewah juara alai hargana dang mahal .,neutral,neutral,positive,neutral,positive,neutral
"Honda Vario 125 2018 sangat nyaman dipakai ya , buat menyalip juga enak , mesin nya halus dibandingkan dengan vario lama","Honda Vario 125 2018 on sangat nyaman dipakke, denggan do tong laho menyalip, mesin na lancar dibandingkan Vario lama",neutral,positive,positive,neutral,neutral,neutral
"Sudah bensin nya irit , mesin nya bandel . perjalanan semakin lancar . harga jual tidak jatuh , dibanding dengan merek yang lain .","Hemat bahan bakar do jala togu do mesinna. lam lancar ma pardalanan. Ndang turun arga jualna, molo dibandinghon tu merek na asing.",positive,positive,neutral,neutral,positive,neutral
"Perasaan liat di jalan veloz ini padahal baru tapi liat nya biasa aja ya , kurang greget","Panghilalaan marnida Veloz on di dalan, nang pe baru, holan songon i do, ndang apala seru.",neutral,neutral,negative,neutral,neutral,neutral
"Saya pakai grand livina dari 2008 , km udah hampir 400 ribu . Masih nyaman-nyaman saja , dan irit .","Au nunga mamakke Grand Livina sian taon 2008, jarak tempuhna hampir 400 ribu. Tong do nyaman jala hemat.",positive,neutral,positive,neutral,neutral,neutral
"nih mobil mantap , diajak mengejar innova masih sanggup . cuma bodi nya saja nih , kurang rigid . kalau dibawa lari di tol melayang .","Hebat do mobil on, molo dipangido mangejar Innova tong do mampu. Holan pamatang do, dang cukup kaku. molo marlojong di dalan tol mangambang do i.",neutral,neutral,positive,negative,neutral,neutral
Tetep kalah telak sama pajero sport,Tong do parah dipukul Pajero Sport i .,neutral,neutral,positive,neutral,neutral,neutral
Harga murah adalah salah satu kelebihan Toyota Calya,Harga rendah adalah salah satu keunggulan Toyota Calya .,neutral,neutral,neutral,neutral,positive,neutral
Rush merupakan SUV menengah yang sangat menarik,Rush ima SUV ukuran menengah na mansai menarik .,neutral,neutral,positive,neutral,neutral,neutral
"Isuzu Panther Grand Touring Tahun 2009 . Mobil tangguh dengan mesin diesel yang irit dan bandel , harga nya cuma 167 Jutaan juragan .","Isuzu panther grand touring 2009. Mobil na tangguh dohot mesin solar na hemat jala tahan lama, argana holan 167 juta do bos.",positive,positive,neutral,neutral,positive,neutral
satu hal yang mungkin dirasa kurang dari xenia ialah dengan beban penuh kapasitas tenaga mobil dirasa kurang maksimal,Sada na mungkin hurang di Xenia on ima molo gok beban kapasitas daya ni mobil i ndang dihilala optimal.,neutral,negative,neutral,neutral,neutral,neutral
scoopy tidak cocok untuk mahasiswa,Scoopy dang cocok tu mahasiswa .,neutral,neutral,negative,neutral,neutral,neutral
mantab review nya ... bener sih kalo masalah handling ga diragukan lagi .. membuat brio fun to drive,ulasan hebat... memang dang adong keraguan tentang penanganan... mambahen Brio on menyenangkan berkendara,neutral,neutral,positive,positive,neutral,neutral
"mobil toyota avanza mobil yang murah , tetap tidak murahan .","Mobil Toyota Avanza ima mobil na mura, alai ndang mura.",neutral,neutral,neutral,neutral,positive,neutral
Mobil yang ga pernah gw lirik di jalanan ... mobilio dan brv ... design nya semrawut .. jelek pol,Mobil na so hea hubereng di dalan-dalan... Mobilio dohot BRV... desain na sega... jelek hian,neutral,neutral,neutral,negative,neutral,neutral
Avanza menjadi lebih praktis dipakai di beragam rute dengan kondisi jalan yang sempit juragan .,"Avanza on lebih praktis do dipangke di berbagai rute na sompit kondisi dalanna, bos.",neutral,neutral,positive,neutral,neutral,neutral
Fortuner kalo kalian pilih itu pasti ngga bakal nyesel fortuner itu canggih,"Molo dipillit hamu Fortuner, pasti dang manolsoli hamu Fortuner on canggih.",neutral,neutral,positive,neutral,neutral,neutral
yang saya enggak suka dari terios itu kaki-kaki nya yang kurang kuat dan berisik sekali,"Na so lomo rohangku di Terios i, ndang gogo patna jala mansai ribut.",neutral,neutral,neutral,negative,neutral,neutral
"punya motor yamaha tidak pernah membuat pusing , karena perawatan yang simple dan murah , serta tak butuh waktu . @YamahaIndonesia #40thYamaha","Molo adong motor Yamaha dang hea mambahen pusing, ai sederhana jala mura do perawatanna, jala dang pola godang tingki. @YamahaIndonesia #40Yamaha",neutral,neutral,neutral,neutral,neutral,positive
Tapi bengkel honda yang di deket ring road ini jelek :|,Alai bengkel Honda na jonok tu jalan lingkar i buruk do :|,neutral,neutral,neutral,neutral,neutral,negative
"cukup impresif , dari sisi harga , kelengkapan dan tentunya engine yang pakai 4 cylinder , saya percaya bakal laku keras .","cukup mengesankan, sian segi harga, kelengkapan dohot tontu mesin na mamakke 4 silinder, porsea do au pasti do laku denggan.",neutral,neutral,neutral,neutral,positive,neutral
Keseluruhan kecewa berat sama honda HRV,Secara keseluruhan sangat kecewa dengan Honda HRV .,neutral,neutral,negative,neutral,neutral,neutral
Toyota rush enak dipakai sehari-hari dalam kota dan santai untuk dipakai mudik .,Toyota Rush nyaman dipakke siganup ari di kota jala santai dipakke mulak tu jabu.,neutral,neutral,positive,neutral,neutral,neutral
"kebetulan gue juga pakai livina dari 2010 . keluhan nya sama , mesin ngelitik padahal sudah bolak-balik beres berapa kali .","Kebetulan au pe mamakke Livina mulai taon 2010. Sarupa do alu-aluna, martuktuk do masin i nang pe nunga piga hali dipature.",neutral,negative,neutral,neutral,neutral,neutral
jazz lebih bandel kalo dibanding brio,Jazz lobi tangkang sian Brio .,neutral,negative,neutral,neutral,neutral,neutral
"Jangan mau servis di bengkel Toyota, mahalnya kebangetan, pelayanan tidak memuaskan.","Unang pola repot-repot hamu marservis di bengkel Toyota, arga na luar biasa jala pelayanan na so memuaskan.",neutral,neutral,neutral,neutral,neutral,negative
"jangan beli brio, kenyamanan nya jelek banget, mending calya selalu enak dibuat ke mana mana .","Unang tuhor Brio, kenyamanan na buruk do tutu, tumagon ma tuhor Calya, sai nyaman do manang tudia pe.",neutral,neutral,positive,neutral,neutral,neutral
jangan beli mobil produk @DaihatsuInd terutama mobil Xenia karena mesin nya mudah meledak .,"Unang manuhor mobil produksi ni @DaihatsuInd, apalagi si Xenia on, ai mura meledak do mesinna.",neutral,negative,neutral,neutral,neutral,neutral
"Untuk bagian safety and security , Grand New Avanza memiliki berbagai fitur yang mendukung keamanan dan keselamatan .","Molo bagian keselamatan dohot keamanan, Grand Avanza Baru marragam fitur na mendukung keselamatan dohot keamanan.",neutral,neutral,neutral,positive,neutral,neutral
Liburan Ke Bali berempat dengan wuling confero s lux+ . BBM yang sangat irit,Liburan ke Bali empat halak dengan Wuling Confero S Lux+. Mansai hemat bahan bakar .,positive,neutral,neutral,neutral,neutral,neutral
Terios ini mobil cocok untuk semua medan,Terios on mobil na cocok tu sude medan .,neutral,neutral,positive,neutral,neutral,neutral
"Vario ban sudah tubeless dan bensin yang irit ditambah bagasi yang lega , bikin hati gembira dan spirit bahagia .","Ban Vario tanpa tabung jala hemat bahan bakar ditambah ruang bagasi na luas, mambahen las roha jala las roha.",positive,neutral,neutral,positive,neutral,neutral
"konsumsi bahan bakar Honda mobilio tipe e cvt prestige cukup irit yaitu 14,2 km / liter dengan kecepatan 40 - 60 km / jam .","Konsumsi BBM ni Honda Mobilio E CVT tipe Prestige cukup hemat, ima 14,2 km/liter di kecepatan 40 – 60 km/jam.",positive,neutral,neutral,neutral,neutral,neutral
Calya mobil nya irit bahan bakar saya isi penuh bisa buat berkeliling-keliling kota-kota jadi enggak sering mampir ke spbu,"Mobil hemat bensin do Calya on, huisi do jala boi do hupangke laho mardalani di kota-kota asa unang pola jotjot ahu maradian di pom bensin.",positive,neutral,neutral,neutral,neutral,neutral
SUZUKI ertiga mobil murah tetapi tidak murahan dilihat interior nya mantap .,"Mobil na murah do SUZUKI Ertiga on alai dang mura idaon, bagak do interiorna.",neutral,neutral,neutral,positive,positive,neutral
Toyota maju dong jgn gitu gitu terus harga mahal tp apa yg di dapet dikit bgt,"Toyota, tolong maju, unang sai songoni, arga do arga alai na dapot otik do.",neutral,neutral,negative,neutral,negative,neutral
"Bengkel mobil Honda yang di Autoland kalau ada problem serius dan kelihatannya akan bebas dari biaya , mereka pasti menolak servis .","Molo adong masalah na serius di bengkel mobil Honda di Autoland jala songon na gratis do idaon, pasti do ndang olo nasida manservis.",neutral,neutral,neutral,neutral,neutral,negative
Fortuner Mobil irit bahan bakar dan nyaman hanya menggunakan biosolar mobil berjalan dengan sempurna dan terbukti dari Jakarta sampai Surabaya dua kali isi solar dan itupun masih bisa dipakai keliling kota Surabaya .,Fortuner ima sada mobil hemat bahan bakar jala nyaman na holan mamakke biodiesel mobil on mardalan sempurna jala terbukti boi mardalan sian Jakarta tu Surabaya marhite na mangisi solar dua hali jala boi dope dipangke di sekitar kota Surabaya.,positive,neutral,positive,neutral,neutral,neutral
"Pokok nya yamaha keren banget semakin di depan tetap yang terbaik motor nya nyaman dipakai , mesin nya halus , mau pria atau perempuan cocok deh pakai yamaha","Pendek ni hata, Yamaha on memang keren, lam tu jolo, lam denggan do motor i, nyaman do dipangke, lancar do mesinna, cocok do Yamaha i tu baoa dohot tu borua.",neutral,positive,positive,neutral,neutral,neutral
Saya tunggu bertahun-tahun . kapan nih Daihatsu Sukabumi punya bengkel yang layak seperti Toyota dan Honda . yang ada sekarang jelek bukan main,Nunga martaon au paimahon. Andigan ma adong bengkel ni Daihatsu Sukabumi songon toyota dohot honda? aha na adong nuaeng on tung na so denggan do,neutral,neutral,neutral,neutral,neutral,negative
"Avanza lari nya juga lumayan kencang , di tol bisa mencapai 140 km / h.","Avanza on pe lumayan hatop do mardalan, di jalan tol boi do sahat tu 140 km/jam.",neutral,positive,neutral,neutral,neutral,neutral
"buat bensin fortuner enggak usah ditanya , saya isi penuh hari minggu , dan itu bisa dipakai sampai dua minggu ke depan . irit banget kan !","Dang pola manungkun taringot tu BBM ni Fortuner i, di ari Minggu do huisi, jala boi do i dipangke dua minggu na ro. Hemat do tutu, kan?",neutral,positive,neutral,neutral,neutral,neutral
Paling ok buat jalur semi off road dan tanjakan Terios,Na dumenggan tu trek semi off road dohot pendakian Terios .,neutral,positive,neutral,neutral,neutral,neutral
"dengan desain aerodinamis , yang membuat mobil Grand New Veloz sangat mudah dikendalikan ,","dohot desain aerodinamis, na mambahen mobil Veloz Baru Grand on mansai mura dikendalihon,",neutral,neutral,neutral,positive,neutral,neutral
mobilio bagus purnajual juga oke,"mobilio denggan do, layanan purna jual pe oke do",neutral,neutral,positive,neutral,positive,neutral
Hrv punya tetangga saya kok shock depan keras ya .,HRV ni tetanggaku adong do peredam guncangan na keras di jolo.,neutral,neutral,neutral,negative,neutral,neutral
"Menurut saya untuk harga mobil sekelas nya , sampai saat ini mungkin IGNIS ini yang paling value for money .","Menurut au, molo arga ni mobil di kelasna, saleleng on IGNIS do ra na paling bernilai tu hepeng.",neutral,neutral,neutral,neutral,positive,neutral
vario jauh lebih gesit daripada mio,Si Vario jauh lebih lincah dari Mio .,neutral,negative,neutral,neutral,neutral,neutral
Rush 2018 saya varian G AT suara mesin kasar .,Varian rush g at 2018 ku adong suara mesin na kasar.,neutral,negative,neutral,neutral,neutral,neutral
"Avanza cuma menghabiskan sekitar 40 liter bensin untuk 700 km , bung . Irit parah ini sih .","Avanza on holan mamakke bensin hira-hira 40 liter do saleleng 700 km, baoa. Sasintongna hemat do on.",positive,neutral,neutral,neutral,neutral,neutral
"Berarti Karimun Wagon R referensi nih bang , kebetulan lagi cari LCGC yang murah meriah harga pasaran nya","Berarti Karimun Wagon R i ma sada acuan bang, kebetulan au mangalului LCGC na mura di harga pasar .",neutral,neutral,neutral,neutral,positive,neutral
hati-hati aja mobilio purnajual nya suka jatuh,Hati-hati Mobilios purna pasar jotjot madabu,neutral,neutral,neutral,neutral,negative,neutral
"banyak hal menarik di mobil toyota calya ini , harga nya murah","Godang do namenarik di mobil Toyota Calya on, arga na mura",neutral,neutral,neutral,neutral,negative,neutral
Kawasaki Athlete terasa klasik tetapi kurang menarik . kayak setengah-setengah,Atlet Kawasaki merasa klasik alai hurang semangat. satonga roha,neutral,neutral,negative,neutral,neutral,neutral
"Kesimpulan selama pake Fortuner VRZ kenyamanan perlu banget , interior indah jelas bikin betah di mobil","Kesimpulan: Selama mamakke Fortuner VRZ, kenyamanan sangat dibutuhkan, interior na bagak tontu mambahen merasa di jabu di mobil i.",neutral,neutral,positive,positive,neutral,neutral
Ini mobil avanza lebih boros daripada mobil BMW,Lobi boros do mobil Avanza on sian mobil BMW .,positive,neutral,neutral,neutral,neutral,neutral
Selain elegan motor juga keren buat anak muda atau pun orang tua selain itu perawatan juga sangat mudah dan ditambah onderdil juga murah membuat saya mengagumi produk honda selain itu juga irit bahan bakar dengan mesin injeksi membuat mesin lebih awet dan tangguh buat perjalanan jauh pun mesin tetep oke,"Selain elegan, motor on pe keren do tu angka na poso manang na matua Selain i, perawatanna pe mansai mura jala suku cadangna pe mura, mambahen ahu kagum tu produk Honda Selain i, i pe hemat bahan bakar dohot mesin injeksi, mambahen mesinna lam tahan lama jala tangguh dope.",positive,positive,neutral,positive,neutral,positive
"Bagus kali pelayanan astra daihatsu jalan sisingamangaraja ini . Servis mobil ganti oli , dapat cuci gratis !","Layanan Astra Daihatsu on di Jalan Sisingamangaraja on sungguh bagus. Servis mobil, ganti oli, cuci gratis!",neutral,neutral,neutral,neutral,neutral,positive
Kegoblokan Nissan di GL ini mesin enggak dikasih Knock Sensor ( cuma alat satu doang pelit banget ) .,"Na bodoh ni Nissan di GL on, mesin na dang dilengkapi Knock Sensor (holan sada do perangkatna, pelit hian do i).",neutral,negative,neutral,neutral,neutral,neutral
Harga murah kualitas terjamin ertiga memang mobil yang mantap jaya,"Harga murah,kualitas terjamin,mobil Ertiga nabotul-botul padat dan sukses",neutral,neutral,positive,neutral,positive,neutral
Asli avanza saya boros akhir-akhir ini,Avanza asliku nunga boros akhir-akhir on .,negative,neutral,neutral,neutral,neutral,neutral
"Setelah penggunaan beberapa waktu, motor ini sangat nyaman, empuk sekali melewati jalanan rusak, seperti lempeng begitu saja tanpa ada guncangan yang berarti.","Dung dipangke manang na piga leleng, mansai nyaman do motor on, mansai lambok molo mamolus dalan na sega, songon permukaan na rata so pola adong goyang na signifikan.",neutral,neutral,positive,neutral,neutral,neutral
dengan menggunakan avanza yang super irit . pengeluaran saya pun bisa terjangkau .,marhite na mamakke Avanza na super hemat bahan bakar. Balanjoku pe boi do terjangkau.,positive,neutral,neutral,neutral,neutral,neutral
"nih mobil kalau dibawa mudik pasti nyaman, badan enggak pegal-pegal.","Molo diboan ho mobil on tu jabu lebaran, pasti do nyaman, dang hansit pamatangmu.",neutral,neutral,positive,neutral,neutral,neutral
"Saya berombongan pakai xenia 1.0 , ternyata tenaga xenia 1.0 juga oke punya","Au di sada grup mamakke Xenia 1.0, ternyata daya ni Xenia 1.0 pe lumayan do",neutral,positive,neutral,neutral,neutral,neutral
sigra juga kuat power nya untuk dibawa kebut-kebutan di jalan lintas sumatra yang kejam.,Sigra pe adong do gogona na gogo asa boi diboan hatop di dalan lintas Sumatera na kejam i.,neutral,positive,neutral,neutral,neutral,neutral
"gue pakai xenia li VVTi 2007 , ya sadar sajalah punya mobil murah meriah 1000 cc tuh","Au mamakke Xenia 2007 li VVTi, jadi holan sadar do au adong mobil 1000 cc na mura jala ceria.",neutral,neutral,neutral,neutral,positive,neutral
"Yamaha Nmax perawatan motor tidak ribet , dan harga nya terjangkau .","Perawatan sepeda motor yamaha nmax dang rumit, jala harga na terjangkau.",neutral,neutral,neutral,neutral,positive,positive
keunggulan mobil Avanza terbaru adalah sparepart - nya yang mudah dicari .,"Hasurungan ni mobil Avanza na baru on, mura do dapot suku cadang.",neutral,neutral,neutral,positive,neutral,neutral
Great New Xenia punya harga yang bersahabat dan interior yang lumayan untuk tipe tertinggi,Xenia Baru Hebat memiliki harga na ramah dohot dalaman na lumayan denggan tu tipe na tumimbo .,neutral,neutral,neutral,positive,positive,neutral
brio bagus banget gak bohong !,"Brio on memang burju, dang adong gabus!",neutral,neutral,positive,neutral,neutral,neutral
"Semenjak aku mempunyai sebuah unit honda sonic, hidup mungkin terasa bisa leluasa untuk menjangkau ke mana pun ku mau.","Ala adong do unit Honda Sonic di ahu, olo do ra ngolu on songon na bebas ahu sahat tu dia pe lomo ni rohangku.",neutral,neutral,positive,neutral,neutral,neutral
"Tetapi kalau untuk kaki-kaki , punya saya agak berisik , apalagi lewat jalan rusak , itu kaki-kaki berasa banget bunyi-bunyi nya .","Alai molo taringot tu roda, agak ribut do ahu, tarlumobi molo mamolus dalan na sega, boi do tutu dihilala ribut ni roda i.",neutral,neutral,neutral,negative,neutral,neutral
"Entah kenapa ya , aku lebih nyaman brio generasi pertama .. Yang kaki kaki nya lebih ceper , good looking di lampu belakang bulat dan kaca semi framless","Dang huboto boasa, alai lebih nyaman do huhilala molo Brio generasi pertama... Na marpat na di toru, lampu belakang bulat na denggan idaon jala kaca setengah frameless",neutral,neutral,positive,positive,neutral,neutral
"Mungkin sudah 5 tahun saya pakai Kijang innova . Dalam pemakaian sehari-hari yang intens , mobil ini termasuk ramah perawatan .","Nunga 5 taon ra ahu mamangke Kijang Innova. Di pangkeon na intens siganup ari, mobil on cukup ramah perawatan.",neutral,neutral,neutral,neutral,neutral,positive
Brio selalu lebih punya karakter kuat tersendiri . Sirion kayak ga punya jati diri,Brio sai adong do karakter na gumogo sian dirina sandiri. Sirion songon na so adong jati dirina .,neutral,neutral,negative,neutral,neutral,neutral
"mobil ku xenia tahun 2004 , tipe Li standar . Spion nya masih yang model tipis , kurang elegan .","Mobilku Xenia 2004, tipe Li standar. Kaca spion na tong do model tipis, hurang elegan.",neutral,neutral,neutral,negative,neutral,neutral
fortuner boros banget bensin nya gak kaya altis yang hemat banget,"Memang boros bensin do Fortuner on, dang songon Altis na memang hemat BBM",positive,neutral,neutral,neutral,neutral,neutral
"Mending wuiling almaz . Fitur banyak , mesin turbo , body gede , harga menarik .","Tumagon ma dipillit Wuling Almaz. Godang fitur, mesin turbo, bodi balga, harga menarik.",neutral,positive,neutral,positive,positive,neutral
nih xexi sering dipakai ke Tasikmalaya lewat Nagrek enggak ada masalah tuh .,"Jotjot do hupangke Xexi laho tu Tasikmalaya lewat Nagrek, dang adong masalahna.",neutral,neutral,positive,neutral,neutral,neutral
Pelayanan bengkel Honda AutoBest soekarno hatta jelek banget sih . pantes aja sepi mulu .,Memang buruk do pelayanan di bengkel Honda AutoBest Soekarno Hatta. Ndang pola longang roha molo sai hohom.,neutral,neutral,neutral,neutral,neutral,negative
Kalo dari fitur sih menang sirion . Tapi kalo desain menurut saya brio lebih seksi dan nggak bosenin,"Molo sian fitur, Sirion do na monang. Alai menurut au, desain ni Brio on lebih seksi jala dang membosankan.",neutral,neutral,neutral,positive,neutral,neutral
"keseluruhan gue suka xenia . Murah , desain lucu , muat banyak barang , mudah dibawa , enggak perlu parkiran besar lo . pokok nya Maknyus .","Secara keseluruhan lomo do rohangku tu si Xenia. Murah, desain lucu, pas godang barang, mura diboan, dang porlu parkir na balga. Na utama, tabo do i.",neutral,neutral,positive,positive,positive,neutral
Toyota Calya hemat bahan bakar dan kabin memuat banyak penumpang,Toyota Calya hemat bahan bakar jala adong kabin na boi manampung godang penumpang .,positive,neutral,neutral,positive,neutral,neutral
"menyesal gue beli honda vario , jelek banget motor nya .","Manolsoli au manuhor Honda Vario, jelek hian motor i.",neutral,neutral,negative,neutral,neutral,neutral
Honda Beat Sporty irit bahan bakar dan model nya bagus sporty dan pilihan warna nya banyak tetapi aku suka warna black hard,Honda Beat Sporty hemat bahan bakar jala model sportif na bagak jala godang pilihan warna alai lomo do rohangku tu warna hitam keras.,positive,neutral,neutral,positive,neutral,neutral
"kalau Xi plus , speed juga enggak ragu buat dites sama mobil kelas lain .","Molo Xi plus, kecepatan pe dang pola mardua roha diuji dohot mobil kelas na asing.",neutral,positive,neutral,neutral,neutral,neutral
cuma pernah komplain saja kalau xenia kopling nya keras sama motor locking door - nya aus,"Holan na hea do au mangalu-alu, kopling ni Xenia i nunga kaku jala pintu kunci ni motor i nunga buruk .",neutral,neutral,neutral,negative,neutral,neutral
Selalu senang setiap berkendara menggunakan Aerox .,Sai sonang do ganup tingki marmotor mamangke Aerox.,neutral,neutral,positive,neutral,neutral,neutral
"Hahaha mas Fitra beruntung datang ke Honda cabang itu , staf ramah & bengkel yang bagus + rapi .","Hahaha, beruntung do Pak Fitra ro tu cabang Honda i, stafna ramah & bengkelna mantap + rapi.",neutral,neutral,neutral,neutral,neutral,positive
"cuma sekarang ini lagi punya pengganjal , kalau melewati polisi tidur Xenia kayak nya dasbor itu bunyi , kayak kurang rigid","Holan na saonari adong do masalahhu, molo hubolus benjolan kecepatan di Xenia i hira na marsoara do dasborna, songon na so cukup kaku",neutral,neutral,neutral,negative,neutral,neutral
"Jadi kesimpulan saya buat XPander : "" Enggak banget deh . ""","Jadi kesimpulanku tu XPander: ""Ndang tutu.""",neutral,neutral,negative,neutral,neutral,neutral
Terios baru enak dipakai dan nyaman,Terios na baru on nyaman do dipangke jala nyaman .,neutral,neutral,positive,neutral,neutral,neutral
kualitas Jok Duduk Avanza nyaman karena telah menggunakan bahan tempat duduk berkualitas bagus,Kualitas ni kursi Avanza on nyaman ala mamakke bahan kursi na berkualitas.,neutral,neutral,neutral,positive,neutral,neutral
"Tapi saya bangga punya Karimun Wagon R , mobil ini sangat bisa diandalkan dan ramah di kantong","Alai bangga do au adong Karimun Wagon R, mobil on sangat andal dan ramah kantong.",neutral,neutral,positive,neutral,positive,neutral
Rush baru terlihat lebih gagah dan keren,Rush baru terlihat lebih gagah dan keren,neutral,neutral,positive,neutral,neutral,neutral
Kaki-kaki HRV terasa berisik pas hajar polisi tidur . Dan itu berefek kretek-kretek ke pintu bagasi . Berisik,Ribut do dihilala roda ni HRV molo hona tu benjolan kecepatan. Jala marpanghorhon do i tu pintu bagasi. Mingor,neutral,neutral,neutral,negative,neutral,neutral
semenjak saya pakai toyota calya dompet ku enggak lagi bocor alias bbm - nya irit banget . dan enggak sering mengisi bbm lagi .,"Sian naung mamakke Toyota Calya, dang bocor be dompethu, alias BBM na hemat hian. jala unang jotjot be mangisi BBM.",positive,neutral,neutral,neutral,neutral,neutral
"Toyota innova diesel sangat enak dikendarai , mudah perawatan nya dan sangat irit bbm nya","Toyota Innova Diesel sangat nyaman di kendarai, mudah dipelihara dan sangat hemat bahan bakar",positive,neutral,positive,neutral,neutral,positive
brio kalo di ajak lari lincah banget tarikan juga halus,Brio on sangat lincah molo marlojong jala tarikanna pe lancar do .,neutral,positive,neutral,neutral,neutral,neutral
"Mending Calya lah Irit , suspensi nyaman , muat banyak , inline 4 Silinder dengan VVT - i technology bisa buat taksi daring","Calya lebih baik, hemat, suspensi nyaman, bisa muat bahat, 4 silinder inline dengan teknologi VVT-i bisa dipake untuk taksi online",positive,neutral,neutral,positive,neutral,neutral
untuk bahan bakar irit pasti avanza,"untuk hemat bahan bakar, pasti Avanza .",positive,neutral,neutral,neutral,neutral,neutral
"Bagus banget sih Scoopy , cocok buat cewek pas banget . Mesin nya halus juga . ban nya lucu begitu .","Denggan do tutu Scoopy i, cocok do tutu tu borua. Mesin na pe lancar do. ban na mansai lucu.",neutral,positive,positive,positive,neutral,neutral
benar kata om fitra recall master rem HRV dari dealer antrean nya 3 bulan lebih itu recall,"Toho do na nidok ni Pak Fitra i, recall master rem HRV sian dealer nunga lobi 3 bulan antri.",neutral,neutral,neutral,neutral,neutral,negative
saya lebih pilih innova untuk mobil keluarga meskipun harga nya lebih mahal .,Lomoan do rohangku tu Innova songon mobil keluarga nang pe arga.,neutral,neutral,positive,neutral,negative,neutral
Mobil saya Avanza type G 1300 cc tahun 2007 sampai sekarang mesin nya tidak rewel dan bahan bakar masih irit .,Mobilhu Avanza tipe G 1300 cc sian taon 2007. Sahat tu saonari ndang rewel dope mesinna jala hemat dope BBM na.,positive,positive,neutral,neutral,neutral,neutral
Suspensi Xpander empuk dan nyaman,Suspensi Xpander lembut dan nyaman .,neutral,neutral,neutral,positive,neutral,neutral
Mending inilah daripada Honda Jazz city car over price pelit fitur .,"Dumenggan do on sian Honda Jazz, mobil kota na arga jala ndang pola godang fiturna.",neutral,neutral,neutral,negative,negative,neutral
"Desain dasbor HRV kece , seolah-olah semua diorientasikan ke pengemudi","Desain dasbor HRV na keren, songon na sude berorientasi tu supir.",neutral,neutral,neutral,positive,neutral,neutral
"Saya menggunakan avanza tahun 2009 transmisi manual . kualitas mesin top banget . Walaupun dengan pemeliharaan minimal , tetapi hasil nya maksimal .","Avanza 2009 na margelar manual do hupangke. Kualitas ni mesin na top do tutu. Nang pe otik perawatanna, maksimal do hasilna.",neutral,positive,neutral,neutral,neutral,neutral
"saya sih mending xi irit sih beda tipis apalagi macet di kota-kota besar enggak berefek xi buat luar kota enak , tanjakan juga oke .","Lomoan do rohangku tu Xi na ekonomis, otik do perbedaanna, tarlumobi ala macet di kota-kota na balga ndang manghorhon tu Xi, denggan do i tu luar kota, jala denggan do nang tu naik dolok.",positive,neutral,positive,neutral,neutral,neutral
